Cash on delivery,Cash on delivery,,,
Other: see item description,Other: see item description,,,
Bank transfer,Bank transfer,,,
PayPal,PayPal,,,
Bank transfers accepted,Bank transfers accepted,,,
14 days,14 days,,,
30 days,30 days,,,
60 days,60 days,,,
Returns accepted,Returns accepted,,,
Returns not accepted,Returns not accepted,,,
Buyer,Buyer,,,
Seller,Seller,,,
Economy,Economy,,,
Mail: ordinary letters,Mail: ordinary letters,,,
Mail: certified letters,Mail: certified letters,,,
Mail: Paquete Azul,Mail: Paquete Azul,,,
Other (see description),Other (see description),,,
Express delivery from abroad,Express delivery from abroad,,,
International Express Service EMS,International Express Service EMS,,,
Express international delivery,Express international delivery,,,
Standard,Standard,,,
Mail: express certified letters,Mail: express certified letters,,,
Mail: 48/72 courier,Mail: 48/72 courier,,,
Mail: Postal Exprés,Mail: Postal Exprés,,,
Nacex: Pluspack/Plusbag,Nacex: Pluspack/Plusbag,,,
Other 48-hour courier,Other 48-hour courier,,,
Express,Express,,,
Mail: Chronoexprés,Mail: Chronoexprés,,,
Nacex: next working day,Nacex: next working day,,,
Other 24-hour courier,Other 24-hour courier,,,
None,None,,,
International letters up to 20g,International letters up to 20g,,,
International letters over 20g,International letters over 20g,,,
Other services,Other services,,,
National letters up to 20g,National letters up to 20g,,,
International postcards,International postcards,,,
Tracked delivery from abroad,Tracked delivery from abroad,,,
Economy delivery from abroad,Economy delivery from abroad,,,
Standard delivery to the Canary Islands,Standard delivery to the Canary Islands,,,
Standard delivery to the Ceuta/Melilla,Standard delivery to the Ceuta/Melilla,,,
Standard delivery from abroad,Standard delivery from abroad,,,
Economy international delivery,Economy international delivery,,,
Standard international delivery,Standard international delivery,,,
Express delivery from abroad,Express delivery from abroad,,,
Economy international parcel,Economy international parcel,,,
Priority international parcel,Priority international parcel,,,
Economy international parcel,Economy international parcel,,,
Seur Classic,Seur Classic,,,
Other services,Other services,,,
Local collection,Local collection,,,
Delivery points,Delivery points,,,
