" - Edit"," - Edit"
"",""
"Action","Action"
"Add Campaign","Add Campaign"
"Add Step","Add Step"
"An error occurred while updating the campaigns.","An error occurred while updating the campaigns."
"An error occurred while updating the steps.","An error occurred while updating the steps."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Campaign Name","Campaign Name"
"Campaign was saved","Campaign was saved"
"Campaign was successfully deleted.","Campaign was successfully deleted."
"Campaign was successfully saved","Campaign was successfully saved"
"Campaign","Campaign"
"Campaigns","Campaigns"
"Change Campaign","Change Campaign"
"Change status","Change status"
"Could not find campaign to delete.","Could not find campaign to delete."
"Could not find step to delete.","Could not find step to delete."
"Created at","Created at"
"Delete Campaign","Delete Campaign"
"Delete Step","Delete Step"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Campaign '%s'","Edit Campaign '%s'"
"Edit Step '%s'","Edit Step '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving campaign","Error saving campaign"
"Error saving step","Error saving step"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select campaigns to delete.","Please select campaigns to delete."
"Please select campaigns.","Please select campaigns."
"Please select steps to delete.","Please select steps to delete."
"Please select steps.","Please select steps."
"Position","Position"
"Reminder (days)","Reminder (days)"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Campaign","Save Campaign"
"Save Step","Save Step"
"Sort Order","Sort Order"
"Status","Status"
"Step was saved","Step was saved"
"Step was successfully deleted.","Step was successfully deleted."
"Step was successfully saved","Step was successfully saved"
"Step","Step"
"Steps","Steps"
"Store views","Store views"
"The campaigns has been deleted.","The campaigns has been deleted."
"The steps has been deleted.","The steps has been deleted."
"There was a problem saving the campaign.","There was a problem saving the campaign."
"There was a problem saving the step.","There was a problem saving the step."
"There was an error deleting campaign.","There was an error deleting campaign."
"There was an error deleting campaigns.","There was an error deleting campaigns."
"There was an error deleting step.","There was an error deleting step."
"There was an error deleting steps.","There was an error deleting steps."
"There was an error updating campaigns.","There was an error updating campaigns."
"There was an error updating steps.","There was an error updating steps."
"This campaign no longer exists.","This campaign no longer exists."
"This step no longer exists.","This step no longer exists."
"Total of %d campaigns were successfully deleted.","Total of %d campaigns were successfully deleted."
"Total of %d campaigns were successfully updated.","Total of %d campaigns were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d steps were successfully deleted.","Total of %d steps were successfully deleted."
"Total of %d steps were successfully updated.","Total of %d steps were successfully updated."
"Unable to find campaign to save.","Unable to find campaign to save."
"Unable to find step to save.","Unable to find step to save."
"Updated at","Updated at"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"