"sku","name","ingram_micro_usa","synnex","tech_data","manufacturer_pn_2","etilize_manufactureid","warehouse_errors"
"tetsttt","Test","","","","","","No Warehouse SKUs Available"
"TH-2064","EndNote X4 for Mac","","","","2064","1036711","No Warehouse SKUs Available"
"TH-30579665","EndNote X6 for Mac - Academic","","","","30579665","1036711","No Warehouse SKUs Available"
"TH-30579673","EndNote X6 - Academic","PW3930","","","30579673","1036711",""
"TH-30582377","EndNote X6 for Mac - Upgrade","","","","30582377","1036711","No Warehouse SKUs Available"
"TH-30582378","EndNote X6 for Mac","PW3924","","","30582378","1036711",""
"TH-30582387","EndNote X6 - Upgrade","QC3793","","","30582387","1036711",""
"TH-30582388","EndNote X6","","","","30582388","1036711","No Warehouse SKUs Available"
"TH-30582391","EndNote X6 - Workstation","","","","30582391","1036711","No Warehouse SKUs Available"
"TH-3106","ProCite 5","","","","3106","1036711","No Warehouse SKUs Available"
"TH-6126","Reference Manager 12","","","","6126","1036711",""
"TH-6702","Reference Manager 12 (5 Users)","","","","6702","1036711",""
"TM-CMNN0101","Worry-Free Business Security Advanced - License","BG2339","","10688386","CMNN0101","10587",""
"TM-CMNN0101HOME","Worry-Free Business Security Advanced - License","","","","CMNN0101","","No Warehouse SKUs Available"
"TM-CMNN0102","Worry-Free Business Security Advanced - One Year (26-50 users)","BG2340","","10688387","CMNN0102","10587",""
"TM-CMNN0103","Worry-Free Business Security Advanced - One Year (51-250 users)","BG2341","","10688388","CMNN0103","10587",""
"TM-CMNN0104","Worry-Free Business Security Advanced - One Year (251+ users)","BG2342","","10688389","CMNN0104","10587",""
"TM-CMRM0014","2 Year Renewal Worry-Free Business Security Advanced (2-25 users)","BU0121","","10688441","CMRM0014","10587",""
"TM-CMRM0015","2 Year Renewal Worry-Free Business Security Advanced (26-50 users)","BU0122","","10688442","CMRM0015","10587",""
"TM-CMRM0016","2 Year Renewal Worry-Free Business Security Advanced (51-250 users)","BU0123","","10688443","CMRM0016","10587",""
"TM-CMRM0017","2 Year Renewal Worry-Free Business Security Advanced (251+ users)","BU0124","","10688444","CMRM0017","10587",""
"TM-CMRN0044","Renewal Worry-Free Business Security Advanced","BG2343","","10688451","CMRN0044","10587",""
